timestamp,value
2023-08-31T07:35:03Z,94.8
2023-08-31T07:36:03Z,94.8
2023-08-31T07:37:03Z,94.8
2023-08-31T07:38:03Z,94.8
2023-08-31T07:39:03Z,94.8
2023-08-31T07:40:03Z,94.9
2023-08-31T07:41:03Z,94.9
2023-08-31T07:42:03Z,94.9
2023-08-31T07:43:03Z,94.9
2023-08-31T07:44:03Z,50.0
2023-08-31T07:45:03Z,95.7
2023-08-31T07:46:03Z,96.7
2023-08-31T07:47:03Z,96.6
2023-08-31T07:48:03Z,96.7
2023-08-31T07:49:03Z,96.6
2023-08-31T07:50:03Z,96.5
2023-08-31T07:51:03Z,96.8
2023-08-31T07:52:03Z,96.9
2023-08-31T07:53:03Z,97.0
2023-08-31T07:54:03Z,96.8
2023-08-31T07:55:03Z,97.6
2023-08-31T07:56:03Z,97.6
2023-08-31T07:57:03Z,97.9
2023-08-31T07:58:03Z,97.9
2023-08-31T07:59:03Z,97.3
2023-08-31T08:00:03Z,98.1
2023-08-31T08:01:03Z,97.9
2023-08-31T08:02:03Z,98.5
2023-08-31T08:03:03Z,98.3
2023-08-31T08:04:03Z,96.9
2023-08-31T08:05:03Z,95.3
2023-08-31T08:06:03Z,94.1
2023-08-31T08:07:03Z,93.8
2023-08-31T08:08:03Z,93.2
2023-08-31T08:09:03Z,93.0
2023-08-31T08:10:03Z,50.0
2023-08-31T08:11:03Z,92.1
2023-08-31T08:12:03Z,92.2
2023-08-31T08:13:03Z,93.3
2023-08-31T08:14:03Z,91.8
2023-08-31T08:15:03Z,92.9
2023-08-31T08:16:03Z,93.6
2023-08-31T08:17:03Z,95.1
2023-08-31T08:18:03Z,96.2
2023-08-31T08:19:03Z,97.1
2023-08-31T08:20:03Z,97.5
2023-08-31T08:21:03Z,97.9
2023-08-31T08:22:03Z,98.5
2023-08-31T08:23:03Z,97.7
2023-08-31T08:24:03Z,97.3
2023-08-31T08:25:03Z,96.5
2023-08-31T08:26:03Z,96.2
2023-08-31T08:27:03Z,96.1
2023-08-31T08:28:03Z,50.0
2023-08-31T08:29:03Z,95.7
2023-08-31T08:30:03Z,95.6
2023-08-31T08:31:03Z,95.5
2023-08-31T08:32:03Z,95.6
2023-08-31T08:33:03Z,50.0
2023-08-31T08:34:03Z,94.1
2023-08-31T08:35:03Z,92.6
2023-08-31T08:36:03Z,91.7
2023-08-31T08:37:03Z,91.3
2023-08-31T08:38:03Z,91.1
2023-08-31T08:39:03Z,90.7
2023-08-31T08:40:03Z,91.0
2023-08-31T08:41:03Z,90.8
2023-08-31T08:42:03Z,90.6
2023-08-31T08:43:03Z,90.6
2023-08-31T08:44:03Z,90.3
2023-08-31T08:45:03Z,90.4
2023-08-31T08:46:03Z,90.3
2023-08-31T08:47:03Z,90.4
2023-08-31T08:48:03Z,90.3
2023-08-31T08:49:03Z,90.2
2023-08-31T08:50:03Z,90.2
2023-08-31T08:51:03Z,90.1
2023-08-31T08:52:03Z,90.1
2023-08-31T08:53:03Z,90.1
2023-08-31T08:54:03Z,90.1
2023-08-31T08:55:03Z,90.2
2023-08-31T08:56:03Z,90.4
2023-08-31T08:57:03Z,90.6
2023-08-31T08:58:03Z,90.7
2023-08-31T08:59:03Z,90.9
2023-08-31T09:00:03Z,90.9
2023-08-31T09:01:03Z,91.2
2023-08-31T09:02:03Z,91.2
2023-08-31T09:03:03Z,91.3
2023-08-31T09:04:03Z,91.4
2023-08-31T09:05:03Z,91.6
2023-08-31T09:06:03Z,91.7
2023-08-31T09:07:03Z,91.7
2023-08-31T09:08:03Z,91.7
